2,3
1,49
2,19
1,13
1,93
2,20
2,12
1,4
2,67
1,5
2,15
1,11
2,17
1,27
2,10
2,43
2,34
1,11
1,10
1,49
1,3
1,3
2,16
2,21
1,6
2,59
1,62
2,79
2,19
1,9
2,6
2,3
2,46
1,24
1,6
1,14
1,18
2,16
2,6
2,27
2,28
1,17
2,42
1,4
2,29
1,5
1,14
2,27
2,62
2,15
1,4
2,20
1,26
1,29
2,9
2,25
2,45
1,7
1,26
2,12
2,14
1,7
1,21
2,50
1,31
1,10
2,14
2,28
1,36
1,26
2,4
2,93
2,55
1,24
1,51
1,9
1,17
1,11
1,36
2,15
1,8
1,2
1,40
1,93
1,20
1,39
2,56
1,34
1,16
1,15
1,52
2,28
1,15
2,2
1,36
1,17
1,5
2,20
1,4
1,8
1,12
1,6
1,44
1,2
2,39
2,5
1,12
2,15
1,27
1,6
2,34
1,4
1,6
1,24
1,16
2,31
1,22
1,20
1,4
2,7
2,24
1,10
1,11
2,24
1,21
1,2
1,13
1,4
1,9
2,8
1,18
2,7
2,19
2,17
1,13
1,22
2,23
2,7
2,21
1,6
2,14
1,41
2,15
2,23
1,6
1,23
2,18
1,18
1,72
1,16
1,25
2,25
1,20
2,25
2,19
1,12
2,5
1,41
2,6
1,75
1,6
2,3
1,8
1,5
2,8
2,34
2,7
2,28
1,24
1,7
2,17
1,19
1,5
1,17
2,14
2,5
2,12
1,53
1,5
2,13
2,36
1,12
1,12
1,15
2,4
2,4
2,8
2,18
1,7
2,19
1,69
2,18
2,69
1,13
1,5
1,3
2,23
1,28
1,8
1,19
